,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
273,Northam,0,AU,1575839835,59,-31.65,116.67,62.6,11.41
274,Erbaa,75,TR,1575840382,61,40.67,36.56,48.2,5.82
275,Nemuro,79,JP,1575839855,65,43.32,145.57,24.58,16.8
276,Rundu,12,NA,1575840384,24,-17.91,19.77,80.6,9.17
277,Dabhol,0,IN,1575840385,65,17.6,73.17,81.07,9.89
278,Inta,100,RU,1575840386,86,66.04,60.13,26.85,16.11
279,Mascote,40,BR,1575840387,74,-15.56,-39.3,84.2,6.93
280,Khingansk,31,RU,1575840388,77,49.12,131.18,-11.76,4.94
281,Sola,100,TZ,1575840389,89,-3.17,33.8,66.2,5.21
282,Abu Samrah,43,SY,1575840391,78,35.3,37.18,50.7,3.69
283,Coquimbo,0,CL,1575839841,67,-29.95,-71.34,62.6,13.87
284,Sompeta,58,IN,1575840393,83,18.93,84.6,69.49,1.52
285,Naryan-Mar,98,RU,1575839999,94,67.67,53.09,28.94,21.21
286,Churapcha,8,RU,1575840395,95,62.0,132.43,-40.52,4.88
287,Bethel,20,US,1575840145,100,60.79,-161.76,30.2,8.05
288,Pingliang,0,CN,1575840397,42,35.54,106.68,28.0,7.18
289,Puerto Leguizamo,73,CO,1575840398,52,-0.19,-74.78,90.14,0.54
290,Lasa,20,CY,1575840399,76,34.92,32.53,55.4,8.05
291,Richards Bay,100,ZA,1575840401,75,-28.77,32.06,70.86,14.92
292,Auki,99,NG,1575840402,18,12.18,6.51,73.09,9.98
293,Cuauhtemoc,46,MX,1575840403,45,28.72,-111.63,80.01,3.0
294,Okhotsk,100,RU,1575840012,80,59.36,143.24,-6.75,9.8
295,Ponferrada,77,ES,1575840405,97,42.55,-6.59,44.01,3.67
296,Adrar,0,DZ,1575840023,42,27.87,-0.29,55.4,8.05
297,Sabang,4,PH,1575840407,80,13.8,121.11,78.01,7.0
298,Kundian,100,PK,1575840408,23,32.46,71.49,58.53,2.68
299,Broken Hill,0,AU,1575840410,10,-31.97,141.45,82.4,11.41
300,Beringovskiy,100,RU,1575840415,87,63.05,179.32,2.23,31.16
301,Kavaratti,100,IN,1575840416,75,10.57,72.64,82.0,12.53
302,Sitka,100,US,1575839833,37,37.17,-99.65,60.01,2.64
303,Mezcala,64,MX,1575840418,34,17.93,-99.6,84.0,1.99
304,Changying,100,CN,1575840419,97,52.87,123.32,-20.2,2.93
305,Port Hardy,75,CA,1575840420,93,50.7,-127.42,41.0,3.36
306,Williston,90,US,1575840421,91,48.15,-103.62,10.4,17.22
307,Roald,75,NO,1575840423,86,62.58,6.12,41.0,23.04
308,Tual,100,ID,1575840424,77,-5.67,132.75,83.28,8.86
309,Vidim,75,CZ,1575840425,70,50.47,14.53,50.0,12.75
310,Rocha,62,UY,1575840426,44,-34.48,-54.34,82.33,2.24
311,Nikolskoye,75,RU,1575840427,95,59.7,30.79,35.01,13.42
312,Wielun,100,PL,1575840428,89,51.22,18.57,44.01,3.0
313,College,75,US,1575840429,92,64.86,-147.8,18.0,1.5
314,Baijiantan,0,CN,1575840430,81,45.63,85.18,20.46,1.28
315,Mehamn,40,NO,1575840432,64,71.03,27.85,32.0,25.28
316,Lompoc,20,US,1575840433,82,34.64,-120.46,64.0,13.87
317,Pacifica,75,US,1575840434,82,37.61,-122.49,62.01,3.36
318,Venafro,20,IT,1575840435,100,41.48,14.05,51.01,1.12
319,Hokitika,18,NZ,1575840437,72,-42.72,170.96,53.26,2.42
320,Kungalv,90,SE,1575840438,86,57.87,11.98,44.01,20.8
321,Ozernovskiy,100,RU,1575840439,74,51.5,156.52,19.2,12.37
322,Portland,90,US,1575839708,39,43.66,-70.25,34.0,8.05
323,Saint-Pierre,75,FR,1575840441,93,48.95,4.24,46.99,19.46
324,Labuhan,100,ID,1575840442,92,-2.54,115.51,71.96,1.3
325,Lazarev,0,RU,1575840443,80,52.23,141.51,-8.5,8.46
326,Marzuq,67,YE,1575840445,71,14.4,46.47,68.7,2.89
327,Benghazi,100,LY,1575840153,59,32.12,20.07,65.82,6.4
328,Castro,0,CL,1575840447,68,-42.48,-73.76,64.4,8.05
329,Myski,100,RU,1575840448,94,53.71,87.8,23.83,8.9
330,Taldan,100,RU,1575840449,95,53.69,124.82,-22.72,5.23
331,Iqaluit,90,CA,1575840317,85,63.75,-68.52,19.0,29.97
332,Mecca,0,SA,1575840042,49,21.43,39.83,70.5,2.68
333,Ugoofaaru,63,MV,1575840452,79,5.67,73.0,82.69,21.16
334,Petropavlovsk-Kamchatskiy,57,RU,1575840454,77,53.05,158.65,1.4,4.47
335,Bathsheba,40,BB,1575840455,61,13.22,-59.52,82.4,17.22
336,Amahai,85,ID,1575840456,76,-3.31,129.0,81.28,3.91
337,Partizanskoye,100,RU,1575840457,97,53.35,78.35,29.26,5.97
338,Vostok,0,RU,1575840458,72,46.45,135.83,-7.73,4.47
339,Chapada dos Guimaraes,75,BR,1575840459,83,-15.46,-55.75,78.8,4.7
340,Leskolovo,75,RU,1575840460,95,60.27,30.46,35.01,13.42
341,Qaqortoq,94,GL,1575840461,27,60.72,-46.03,37.4,18.34
342,Mariakani,41,KE,1575840462,92,-3.87,39.47,76.28,3.15
343,Ponta Delgada,75,PT,1575840464,77,37.73,-25.67,64.4,4.7
344,Karratha,0,AU,1575840465,45,-20.74,116.85,84.33,11.07
345,Maniitsoq,99,GL,1575840466,34,65.42,-52.9,18.61,3.49
346,Vanimo,87,PG,1575840467,78,-2.67,141.3,82.6,9.86
347,Las Margaritas,87,MX,1575840468,61,16.32,-91.98,67.57,5.23
348,Prince Rupert,1,CA,1575840469,56,54.32,-130.32,35.6,3.36
349,Busko-Zdroj,100,PL,1575840470,81,50.47,20.72,44.01,5.01
350,Kodiak,75,US,1575840475,71,39.95,-94.76,51.8,8.05
351,Kupang,20,ID,1575840476,94,-10.16,123.6,77.0,1.12
352,Turukhansk,100,RU,1575840477,99,65.8,87.96,-19.21,2.08
353,Leningradskiy,100,RU,1575840478,97,69.38,178.42,4.87,25.66
354,Port Pirie,83,AU,1575840479,60,-33.18,138.01,71.6,14.99
355,Nehe,100,CN,1575840480,96,48.48,124.88,2.25,3.24
356,Ojinaga,1,US,1575840481,25,29.56,-104.41,77.0,3.36
357,San Patricio,47,PY,1575840482,39,-26.98,-56.83,87.51,6.33
358,Cumaru,29,BR,1575840483,68,-8.01,-35.7,78.78,14.2
359,Kalmunai,100,LK,1575840485,79,7.42,81.82,80.13,10.74
360,Ust-Tsilma,100,RU,1575840036,84,65.44,52.15,30.97,12.93
361,Arcata,90,US,1575840487,76,40.87,-124.08,55.99,5.82
362,Leninsk,90,RU,1575840489,93,48.69,45.2,35.6,4.47
363,Jardim,100,BR,1575840490,71,-21.48,-56.15,80.17,9.13
364,Makakilo City,1,US,1575839914,73,21.35,-158.09,82.0,3.36
365,Ligayan,100,PH,1575840492,78,4.65,119.47,82.51,10.16
366,Manaus,75,BR,1575840493,74,-3.13,-59.98,84.2,5.82
367,Kilindoni,80,TZ,1575840495,77,-7.91,39.67,83.37,11.99
368,Farafangana,89,MG,1575840496,88,-22.82,47.83,80.69,11.48
369,General Pico,62,AR,1575840497,14,-35.66,-63.75,95.54,3.71
370,Turka,97,RU,1575840498,66,52.95,108.22,28.83,19.37
371,Tecpan,40,GT,1575840499,56,14.76,-90.99,71.6,16.11
372,Beisfjord,75,NO,1575840500,100,68.38,17.6,28.0,12.75
